EVENT_DATE,EVENT
12-2001,1
12-2008,1
06-2015,1
06-2015,1
07-2015,1
12-2015,1
02-2017,1
12-2018,1
01-2019,1
05-2019,1
05-2019,1
05-2019,1
05-2019,1
07-2019,1
10-2019,1
11-2019,1
03-2020,1
03-2020,1
04-2020,1
04-2020,1
04-2020,1
05-2020,1
07-2020,1
08-2020,1
08-2020,1
09-2020,1
09-2020,1
09-2020,1
10-2020,1
10-2020,1
11-2020,1
11-2020,1
11-2020,1
12-2020,1
01-2021,1
01-2021,1
01-2021,1
02-2021,1
03-2021,1
03-2021,1
03-2021,1
03-2021,1
04-2021,1
04-2021,1
05-2008,1
05-2008,1
06-2008,1
06-2008,1
06-2008,1
05-2016,1
08-2017,1
08-2018,1
09-2018,1
10-2018,1
10-2018,1
12-2018,1
12-2018,1
12-2018,1
12-2018,1
01-2019,1
01-2019,1
01-2019,1
02-2019,1
02-2019,1
03-2019,1
03-2019,1
04-2019,1
05-2019,1
06-2019,1
06-2019,1
07-2019,1
07-2019,1
08-2019,1
08-2019,1
08-2019,1
08-2019,1
09-2019,1
11-2019,1
11-2019,1
11-2019,1
11-2019,1
12-2019,1
12-2019,1
12-2019,1
12-2019,1
01-2020,1
01-2020,1
01-2020,1
01-2020,1
02-2020,1
04-2020,1
04-2020,1
04-2020,1
04-2020,1
05-2020,1
07-2020,1
09-2020,1
12-2020,1
01-2021,1
01-2021,1
02-2021,1
03-2021,1
03-2021,1
03-2021,1
04-2021,1